data,centro_distribuicao,categoria_produto,demanda,peso_total_kg,volume_total_m3,valor_total,capacidade_utilizada_pct,lead_time_dias,taxa_atraso_pct,evento_especial,dia_semana,mes,trimestre,tempo_picking_item_min,tempo_total_picking_min,taxa_erro_picking_pct,gargalo_picking_pct,complexidade_picking,tempo_embalagem_item_min,tempo_total_embalagem_min,taxa_erro_embalagem_pct,gargalo_embalagem_pct,fragilidade_produto,tempo_expedicao_min,gargalo_expedicao_pct,prioridade_expedicao,nivel_automacao_cd,tempo_total_processamento_min,dia_do_mes,dia_do_ano,semana_do_ano,fim_de_semana
2024-01-01,Belem (PA),Eletrônicos,2048,7168.0,30.72,2457600,170.67,4.59,51.97,,Monday,January,Q1,6.88,14095.06,11.47,160.0,alta,6.12,12544.0,7.35,213.33,alta,240.0,106.67,media,baixo,253.01,1,1,1,False
2024-01-01,Belem (PA),Vestuário,1679,1343.2,8.395,251850,139.92,3.02,41.16,,Monday,January,Q1,2.94,4938.24,8.82,131.17,media,1.69,2833.31,4.72,174.9,baixa,288.0,87.45,baixa,baixo,292.63,1,1,1,False
2024-01-01,Belem (PA),Alimentos,2581,12905.0,51.62,206480,215.08,2.91,54.16,,Monday,January,Q1,1.88,4858.35,7.06,201.64,baixa,2.48,6387.98,5.77,268.85,media,192.0,134.43,alta,baixo,196.36,1,1,1,False
2024-01-01,Belem (PA),Casa e Decoração,1086,8688.0,54.3,325800,90.5,6.24,34.84,,Monday,January,Q1,7.65,8304.71,11.47,84.84,alta,7.0,7602.0,7.35,113.13,alta,288.0,56.56,baixa,baixo,302.65,1,1,1,False
2024-01-01,Belem (PA),Beleza e Saúde,1700,2040.0,13.6,204000,141.67,2.75,43.67,,Monday,January,Q1,3.53,6000.0,8.82,132.81,media,2.75,4675.0,5.77,177.08,media,240.0,88.54,media,baixo,246.28,1,1,1,False
2024-01-01,Belem (PA),Esportes,1203,4812.0,30.075,300750,100.25,3.89,44.14,,Monday,January,Q1,5.35,6439.59,11.47,93.98,alta,3.44,4135.31,5.77,125.31,media,288.0,62.66,baixa,baixo,296.79,1,1,1,False
2024-01-01,Belem (PA),Livros e Mídia,575,575.0,2.3,40250,47.92,2.56,4.28,,Monday,January,Q1,1.41,811.76,4.71,44.92,baixa,1.12,646.88,3.37,59.9,baixa,192.0,29.95,baixa,baixo,194.54,1,1,1,False
2024-01-01,Belem (PA),Brinquedos,1200,2400.0,21.6,120000,100.0,3.31,44.21,,Monday,January,Q1,3.53,4235.29,8.82,93.75,media,3.44,4125.0,5.77,125.0,media,240.0,62.5,media,baixo,246.97,1,1,1,False
2024-01-01,Recife (PE),Eletrônicos,2988,10458.0,44.82,3585600,166.0,3.62,51.85,,Monday,January,Q1,6.5,19422.0,8.67,186.75,alta,5.76,17224.94,5.76,233.44,alta,187.5,124.5,media,medio,199.76,1,1,1,False
2024-01-01,Recife (PE),Vestuário,2776,2220.8,13.88,416400,154.22,3.13,43.41,,Monday,January,Q1,2.78,7711.11,6.67,173.5,media,1.59,4408.94,3.71,216.88,baixa,225.0,115.67,baixa,medio,229.37,1,1,1,False
2024-01-01,Recife (PE),Alimentos,3715,18575.0,74.3,297200,206.39,2.83,59.31,,Monday,January,Q1,1.78,6604.44,5.33,232.19,baixa,2.33,8653.76,4.53,290.23,media,150.0,154.79,alta,medio,154.11,1,1,1,False
2024-01-01,Recife (PE),Casa e Decoração,2160,17280.0,108.0,648000,120.0,4.15,41.95,,Monday,January,Q1,7.22,15600.0,8.67,135.0,alta,6.59,14230.59,5.76,168.75,alta,225.0,90.0,baixa,medio,238.81,1,1,1,False
2024-01-01,Recife (PE),Beleza e Saúde,3165,3798.0,25.32,379800,175.83,2.64,42.44,,Monday,January,Q1,3.33,10550.0,6.67,197.81,media,2.59,8191.76,4.53,247.27,media,187.5,131.88,media,medio,193.42,1,1,1,False
2024-01-01,Recife (PE),Esportes,2117,8468.0,52.925,529250,117.61,2.69,58.19,,Monday,January,Q1,5.06,10702.61,8.67,132.31,alta,3.24,6849.12,4.53,165.39,media,225.0,88.21,baixa,medio,233.29,1,1,1,False
2024-01-01,Recife (PE),Livros e Mídia,967,967.0,3.868,67690,53.72,2.24,4.62,,Monday,January,Q1,1.33,1289.33,3.56,60.44,baixa,1.06,1023.88,2.65,75.55,baixa,150.0,40.29,baixa,medio,152.39,1,1,1,False
2024-01-01,Recife (PE),Brinquedos,2128,4256.0,38.304,212800,118.22,3.06,43.7,,Monday,January,Q1,3.33,7093.33,6.67,133.0,media,3.24,6884.71,4.53,166.25,media,187.5,88.67,media,medio,194.07,1,1,1,False
2024-01-01,Brasilia (DF),Eletrônicos,4701,16453.5,70.515,5641200,235.05,3.53,57.9,,Monday,January,Q1,6.36,29892.23,7.42,244.84,alta,5.57,26176.02,4.45,326.46,alta,158.82,163.23,media,medio,170.75,1,1,1,False
2024-01-01,Brasilia (DF),Vestuário,4361,3488.8,21.805,654150,218.05,2.92,41.77,,Monday,January,Q1,2.72,11850.54,5.71,227.14,media,1.53,6690.17,2.86,302.85,baixa,190.59,151.42,baixa,medio,194.84,1,1,1,False
2024-01-01,Brasilia (DF),Alimentos,3348,16740.0,66.96,267840,167.4,1.64,46.51,,Monday,January,Q1,1.74,5822.61,4.57,174.38,baixa,2.25,7533.0,3.5,232.5,media,127.06,116.25,alta,medio,131.05,1,1,1,False
2024-01-01,Brasilia (DF),Casa e Decoração,2788,22304.0,139.4,836400,139.4,3.41,56.57,,Monday,January,Q1,7.07,19697.83,7.42,145.21,alta,6.36,17741.82,4.45,193.61,alta,190.59,96.81,baixa,medio,204.02,1,1,1,False
2024-01-01,Brasilia (DF),Beleza e Saúde,2770,3324.0,22.16,332400,138.5,2.05,50.85,,Monday,January,Q1,3.26,9032.61,5.71,144.27,media,2.5,6925.0,3.5,192.36,media,158.82,96.18,media,medio,164.58,1,1,1,False
2024-01-01,Brasilia (DF),Esportes,2297,9188.0,57.425,574250,114.85,3.08,41.49,,Monday,January,Q1,4.95,11360.16,7.42,119.64,alta,3.12,7178.12,3.5,159.51,media,190.59,79.76,baixa,medio,198.66,1,1,1,False
2024-01-01,Brasilia (DF),Livros e Mídia,2086,2086.0,8.344,146020,104.3,1.94,43.97,,Monday,January,Q1,1.3,2720.87,4.57,108.65,baixa,1.02,2133.41,2.86,144.86,baixa,190.59,72.43,baixa,medio,192.92,1,1,1,False
2024-01-01,Brasilia (DF),Brinquedos,1561,3122.0,28.098,156100,78.05,2.82,13.07,,Monday,January,Q1,3.26,5090.22,3.8,81.3,media,3.12,4878.12,2.5,108.4,media,105.88,54.2,media,medio,112.27,1,1,1,False
2024-01-01,Sao Paulo (SP),Eletrônicos,15281,53483.5,229.215,18337200,305.62,1.49,47.17,,Monday,January,Q1,6.16,94098.79,5.13,477.53,alta,5.27,80512.8,3.16,636.71,alta,100.0,318.35,media,alto,111.43,1,1,1,False
2024-01-01,Sao Paulo (SP),Vestuário,10276,8220.8,51.38,1541400,205.52,1.72,52.47,,Monday,January,Q1,2.63,27042.11,3.95,321.12,media,1.45,14916.77,2.03,428.17,baixa,120.0,214.08,baixa,alto,124.08,1,1,1,False
2024-01-01,Sao Paulo (SP),Alimentos,5377,26885.0,107.54,430160,107.54,0.99,46.22,,Monday,January,Q1,1.68,9056.0,3.16,168.03,baixa,2.13,11447.81,2.48,224.04,media,80.0,112.02,alta,alto,83.81,1,1,1,False
2024-01-01,Sao Paulo (SP),Casa e Decoração,8057,64456.0,402.85,2417100,161.14,2.46,52.75,,Monday,January,Q1,6.84,55126.84,5.13,251.78,alta,6.02,48515.27,3.16,335.71,alta,120.0,167.85,baixa,alto,132.86,1,1,1,False
2024-01-01,Sao Paulo (SP),Beleza e Saúde,5997,7196.4,47.976,719640,119.94,1.33,42.39,,Monday,January,Q1,3.16,18937.89,3.95,187.41,media,2.37,14186.45,2.48,249.87,media,100.0,124.94,media,alto,105.52,1,1,1,False
2024-01-01,Sao Paulo (SP),Esportes,4835,19340.0,120.875,1208750,96.7,1.82,41.03,,Monday,January,Q1,4.79,23157.11,5.13,151.09,alta,2.96,14297.04,2.48,201.46,media,120.0,100.73,baixa,alto,127.75,1,1,1,False
2024-01-01,Sao Paulo (SP),Livros e Mídia,4107,4107.0,16.428,287490,82.14,1.05,18.38,,Monday,January,Q1,1.26,5187.79,2.11,128.34,baixa,0.97,3974.52,1.45,171.12,baixa,80.0,85.56,baixa,alto,82.23,1,1,1,False
2024-01-01,Sao Paulo (SP),Brinquedos,2856,5712.0,51.408,285600,57.12,1.22,4.22,,Monday,January,Q1,3.16,9018.95,2.63,89.25,media,2.96,8445.16,1.77,119.0,media,66.67,59.5,media,alto,72.78,1,1,1,False
2024-01-01,Florianopolis (SC),Eletrônicos,2585,9047.5,38.775,3102000,172.33,2.22,50.17,,Monday,January,Q1,6.65,17184.38,6.65,146.88,alta,5.7,14728.49,4.56,190.07,alta,146.34,97.92,media,medio,158.69,1,1,1,False
